Ticker,Pred_LSTM,Pred_GRU,Pred_TFT,Pred_Average,Rentabilidad,Dif_LSTM,Dif_GRU,Dif_TFT,Dif_Average,Total_Capitalization,Sector
NVDA,-24.99333953857422,-13.339253425598145,-26.498517990112305,-23.26459369659424,12.021584844180992,-37.01492438275521,-25.360838269779137,-38.5201028342933,-35.28617854077523,4930024243200,technology
AAPL,-19.021108627319336,-21.530961990356445,-28.75784492492676,-23.417773818969728,23.018155468596987,-42.03926409591632,-44.54911745895343,-51.776000393523745,-46.435929287566715,3995082424320,technology
MSFT,-6.198333740234375,-12.34167194366455,-5.26357889175415,-7.053099441528321,-0.4183257158512099,-5.780008024383165,-11.92334622781334,-4.845253175902941,-6.634773725677111,3848559656960,technology
GOOGL,-24.43303680419922,-24.274978637695312,-33.865814208984375,-28.1745361328125,43.21264854915738,-67.6456853533566,-67.48762718685269,-77.07846275814175,-71.38718468196987,3396526145536,communication-services
GOOG,-24.141361236572266,-23.72971534729004,-33.105384826660156,-27.644641494750974,42.98048925650341,-67.12185049307567,-66.71020460379344,-76.08587408316356,-70.62513075125437,3396526145536,communication-services
AMZN,-9.898746490478516,-10.661827087402344,-15.186214447021484,-12.166349792480467,9.451887185216105,-19.35063367569462,-20.11371427261845,-24.63810163223759,-21.618236977696576,2610764447744,consumer-cyclical
AVGO,-4.592916488647461,-24.14165687561035,-12.568995475769045,-11.693096160888672,21.89337119208887,-26.486287680736332,-46.03502806769922,-34.462366667857914,-33.58646735297754,1745527767040,technology
META,-5.978752613067627,-7.421809196472168,-3.3057219982147217,-5.198151683807374,-14.83827510116725,8.859522488099623,7.416465904695082,11.532553102952528,9.640123417359876,1634184069120,communication-services
TSLA,-14.572711944580078,-14.678669929504396,-16.26424217224121,-15.270515632629396,41.67003230922157,-56.242744253801646,-56.34870223872596,-57.93427448146278,-56.940547941850966,1518435958784,consumer-cyclical
BRK-B,-2.1716480255126953,8.858746528625488,2.0708279609680176,1.7314212799072266,3.4823514598369507,-5.653999485349646,5.376395068788538,-1.4115234988689331,-1.750930179929724,1029917966336,financial-services
JPM,-7.847883701324463,5.9169511795043945,-3.5059814453125,-3.3581558227539063,8.953988149354934,-16.801871850679397,-3.03703696985054,-12.459969594667434,-12.31214397210884,846930903040,financial-services
WMT,-8.138736724853516,-2.444129228591919,-1.502357840538025,-4.345263671875,-1.652137801129446,-6.4865989237240695,-0.7919914274624731,0.1497799605914209,-2.693125870745554,806693109760,consumer-defensive
LLY,2.3967061042785645,-8.307250022888184,-21.754045486450195,-9.404385757446288,34.93668604974135,-32.53997994546278,-43.24393607262953,-56.69073153619154,-44.34107180718763,772275896320,healthcare
ORCL,-9.003728866577148,-7.165036201477051,-2.853829860687256,-6.1760307312011715,5.483666079114307,-14.487394945691456,-12.648702280591358,-8.337495939801563,-11.659696810315475,748646629376,technology
V,-4.548859596252441,-9.0108003616333,1.3552035093307495,-3.079622507095337,2.7852551241110612,-7.334114720363503,-11.79605548574436,-1.4300516147803115,-5.864877631206398,658738774016,financial-services
MA,-11.324539184570312,4.32741117477417,-8.262368202209473,-6.96928071975708,-1.5147820869321853,-9.809757097638126,5.842193261706355,-6.747586115277287,-5.454498632824895,495684714496,financial-services
XOM,-13.110902786254885,-12.484030723571776,-0.7739981412887573,-8.050766515731812,8.94211044443855,-22.05301323069343,-21.426141168010325,-9.716108585727309,-16.992876960170364,487544946688,energy
PLTR,-6.894567966461182,-6.552916526794434,-18.79279899597168,-11.585530090332032,10.027444883904648,-16.92201285036583,-16.580361410699084,-28.82024387987633,-21.61297497423668,475583512576,technology
NFLX,-4.4086127281188965,-6.207147598266602,24.92888641357422,6.966679954528809,-5.211078731251405,0.8024660031325084,-0.9960688670151968,30.139965144825624,12.177758685780214,474097123328,communication-services
JNJ,-18.113357543945312,-8.3950777053833,-9.700993537902832,-12.80475597381592,10.917231074786832,-29.030588618732143,-19.312308780170135,-20.618224612689666,-23.72198704860275,455043547136,healthcare
AMD,-14.955181121826172,-24.463632583618164,-29.343263626098633,-22.612104415893555,48.56148734609112,-63.51666846791729,-73.02511992970929,-77.90475097218976,-71.17359176198468,415642714112,technology
COST,14.14346694946289,9.57690715789795,8.456503868103027,10.955369758605958,-6.620338676116108,20.763805625579,16.19724583401406,15.076842544219136,17.575708434722067,403935657984,consumer-defensive
BAC,-19.57201385498047,-15.937783241271973,-19.763418197631836,-18.921729469299315,19.651158848654948,-39.22317270363541,-35.58894208992692,-39.41457704628678,-38.572888317954266,391757594624,financial-services
ABBV,-12.258283615112305,-15.48475170135498,-5.644049167633057,-10.257883453369145,10.43541378765889,-22.693697402771193,-25.92016548901387,-16.079462955291945,-20.69329724102803,385180336128,healthcare
HD,-4.027523994445801,3.614514589309693,10.039517402648926,3.127700281143188,-1.1462544328953843,-2.8812695615504165,4.760769022205077,11.18577183554431,4.273954714038573,377838796800,consumer-cyclical
PG,-8.391870498657227,-1.3764921426773071,-0.1434961408376693,-3.68944508433342,-1.3476364181676193,-7.044234080489607,-0.0288557245096878,1.20414027732995,-2.3418086661658006,351374606336,consumer-defensive
GE,-10.806049346923828,-16.49299430847168,-8.604641914367676,-11.06287536621094,13.714993238547567,-24.521042585471395,-30.207987547019247,-22.319635152915243,-24.777868604758503,325884772352,industrials
CVX,-2.7449140548706055,-11.436107635498049,-6.772274017333984,-6.094096755981445,4.123628259372985,-6.868542314243591,-15.559735894871032,-10.89590227670697,-10.21772501535443,317777805312,energy
