Ticker,Pred_GRU,Rentabilidad,Dif_GRU,Sector
PG,-1.3764921426773071,-1.3476364181676193,0.0288557245096878,consumer-defensive
LKQ,8.276737213134766,8.454632662530875,0.1778954493961091,consumer-cyclical
SHW,-0.8079456090927124,-1.2125180053675462,0.4045723962748337,basic-materials
AIG,4.173892021179199,3.686664338350434,0.4872276828287654,financial-services
SMCI,11.91344165802002,11.33490705608676,0.57853460193326,technology
NI,-0.5825933218002319,0.0513086701863997,0.6339019919866317,utilities
DOV,3.885028839111328,4.604891926912336,0.7198630878010075,industrials
RF,-1.5723484754562378,-0.8261949905846491,0.7461534848715887,financial-services
AIZ,4.5269269943237305,5.301270488080252,0.7743434937565219,financial-services
WMT,-2.444129228591919,-1.652137801129446,0.7919914274624731,consumer-defensive
PTC,-4.54430627822876,-3.6914871868358414,0.8528190913929183,technology
CBRE,-2.127775192260742,-1.2503290534716958,0.8774461387890464,real-estate
FANG,1.241326928138733,2.1969273727806655,0.9556004446419326,energy
NFLX,-6.207147598266602,-5.211078731251405,0.9960688670151968,communication-services
PHM,0.5188682079315186,-0.5006252749648678,1.0194934828963862,consumer-cyclical
AFL,6.529163360595703,5.372315527865141,1.1568478327305618,financial-services
ETN,7.1110076904296875,5.941801887741307,1.1692058026883805,industrials
ADI,4.110888481140137,5.349572496410878,1.2386840152707412,technology
WRB,3.144728183746338,1.8793140999820337,1.2654140837643044,financial-services
PEP,3.966164112091065,2.500757716151982,1.4654063959390826,consumer-defensive
PCAR,3.5049116611480713,2.018864514281684,1.4860471468663872,industrials
CRM,9.859644889831545,8.29602630137822,1.5636185884533234,technology
OTIS,8.459074974060059,6.729862354717528,1.7292126193425306,industrials
AVY,1.71501624584198,3.450824580872468,1.7358083350304878,consumer-cyclical
KEY,3.8751511573791504,2.115167185405352,1.7599839719737984,financial-services
MGM,-5.880513668060303,-7.721118916348995,1.840605248288692,consumer-cyclical
NUE,7.494545936584473,9.33953040720584,1.844984470621366,basic-materials
MHK,-3.799678325653076,-5.65379637287998,1.854118047226904,consumer-cyclical
FRT,7.242883205413818,5.321565013750531,1.921318191663287,real-estate
SYY,-8.951066017150879,-6.974192387632916,1.9768736295179623,consumer-defensive
TRGP,-5.102445602416992,-7.086475536991357,1.984029934574365,energy
CBOE,0.5694553256034851,-1.5470944330066383,2.116549758610123,financial-services
HUM,6.855741500854492,8.987665772178543,2.131924271324051,healthcare
GL,-8.438874244689941,-6.216989179191813,2.221885065498128,financial-services
MDT,1.7679771184921265,-0.5918466990032057,2.3598238174953323,healthcare
ELV,14.927567481994627,12.50558928398823,2.421978198006398,healthcare
KIM,1.0706123113632202,-1.419784664672895,2.4903969760361155,real-estate
DGX,3.9538040161132817,1.4123517167455202,2.5414522993677613,healthcare
HST,3.449558973312378,6.129373404610265,2.6798144312978867,real-estate
ACGL,-0.1747573167085647,-2.869686061492954,2.6949287447843893,financial-services
NXPI,-0.6680315136909485,2.0270760706844597,2.695107584375408,technology
PNC,1.209323525428772,-1.5468705844168562,2.7561941098456284,financial-services
WMB,3.84969711303711,0.8150655003696596,3.0346316126674497,energy
JPM,5.9169511795043945,8.953988149354934,3.03703696985054,financial-services
GWW,1.0304428339004517,4.119236995088655,3.0887941611882033,industrials
BK,3.019329071044922,6.117130902514649,3.0978018314697273,financial-services
NOW,8.285916328430176,5.166342656837771,3.1195736715924047,technology
KO,-4.601138114929199,-1.4221151225343824,3.179022992394817,consumer-defensive
LOW,3.562829971313477,0.3105328165156768,3.2522971547978,consumer-cyclical
PYPL,4.806510925292969,1.5391313450235369,3.2673795802694316,financial-services
EQT,1.257891297340393,4.566744878877038,3.3088535815366447,energy
XYZ,2.138186454772949,-1.1841197798088194,3.3223062345817684,technology
MCO,-2.9409871101379395,-6.398559896412277,3.457572786274338,financial-services
FTNT,11.27841567993164,14.780872247465531,3.5024565675338906,technology
CCL,-4.124979496002197,-0.6204767451072826,3.5045027508949147,consumer-cyclical
CDNS,-0.907486379146576,-4.413960072123221,3.5064736929766447,technology
ADBE,4.3732171058654785,0.6030711003568879,3.7701460055085905,technology
WAB,5.118337631225586,8.936857068356513,3.8185194371309272,industrials
PNR,0.6025710701942444,4.43927574120231,3.8367046710080657,industrials
BX,-8.554635047912598,-12.52684328111297,3.972208233200373,financial-services
TDY,-0.1591982394456863,-4.237179821442242,4.077981581996555,technology
TXT,0.3152527809143066,4.458068311425622,4.1428155305113155,industrials
SO,-4.773017883300781,-0.591891447668217,4.181126435632565,utilities
PNW,-1.4231303930282593,-5.608874178607561,4.185743785579302,utilities
DOC,3.453512191772461,7.647762495633337,4.194250303860876,real-estate
TRMB,0.8423685431480408,-3.3567580656211167,4.199126608769157,technology
WEC,-2.5478591918945312,1.756985030308551,4.304844222203082,utilities
FTV,10.556733131408691,6.219189375255007,4.337543756153685,technology
MTB,5.175701141357422,0.8206731968336233,4.3550279445237985,financial-services
RVTY,3.913405179977417,8.327253350966608,4.413848170989191,healthcare
SWK,4.094296455383301,-0.3707504590465592,4.46504691442986,industrials
DUK,-4.937281608581543,-0.4410725238259267,4.496209084755616,utilities
BSX,2.321366310119629,-2.175600120131843,4.496966430251472,healthcare
LYV,-3.6976354122161865,0.849797309319943,4.547432721536129,communication-services
UBER,-0.4888033270835876,4.132946915648204,4.621750242731792,technology
ADM,0.8447603583335876,5.51203396636704,4.667273608033453,consumer-defensive
TT,0.3258301019668579,5.0368202086395275,4.71099010667267,industrials
EQR,-1.211896538734436,-5.9650017455977595,4.7531052068633235,real-estate
