Ticker,Pred_LSTM,Pred_GRU,Pred_TFT,Pred_Average,Rentabilidad,Dif_LSTM,Dif_GRU,Dif_TFT,Dif_Average,Total_Capitalization,Sector
NVDA,-14.06778621673584,5.573750972747803,-5.183751583099365,-6.585864925384522,2.841599807389007,-16.909386024124846,2.7321511653587955,-8.025351390488373,-9.42746473277353,4930024243200.0,technology
AAPL,19.3483943939209,5.617932319641113,17.270849227905273,15.771283912658692,12.081130161590412,7.267264232330486,-6.463197841949299,5.189719066314861,3.69015375106828,3995082424320.0,technology
MSFT,-20.005495071411133,-16.095577239990234,-13.772442817687988,-16.730290603637695,-0.1517719866368624,-19.85372308477427,-15.943805253353371,-13.620670831051124,-16.57851861700083,3848559656960.0,technology
GOOG,-3.410736560821533,-4.3865180015563965,-8.86291790008545,-5.786765384674073,32.1242721028148,-35.53500866363633,-36.5107901043712,-40.98719000290025,-37.91103748748887,3396526145536.0,communication-services
GOOGL,-3.187002658843994,-5.0131611824035645,-8.841652870178223,-5.8140944480896,32.69616504385985,-35.883167702703844,-37.709326226263414,-41.53781791403807,-38.51025949194945,3396526145536.0,communication-services
AMZN,-13.561727523803713,-19.85959815979004,-21.39968490600586,-17.956484603881837,0.8416889010444459,-14.403416424848157,-20.701287060834485,-22.241373807050305,-18.79817350492628,2610764447744.0,consumer-cyclical
AVGO,-27.261396408081055,-22.32933807373047,-16.79623031616211,-22.08891830444336,19.825827119995463,-47.08722352807652,-42.155165193725935,-36.622057436157576,-41.91474542443883,1745527767040.0,technology
META,-15.966578483581545,-20.123445510864254,-13.71752643585205,-15.898331069946291,9.436586681276912,-25.403165164858457,-29.560032192141172,-23.154113117128965,-25.3349177512232,1634184069120.0,communication-services
TSLA,-18.34015655517578,-7.538527965545654,-11.016791343688965,-13.25048475265503,26.898845777947898,-45.23900233312368,-34.43737374349355,-37.91563712163686,-40.14933053060293,1518435958784.0,consumer-cyclical
BRK-B,2.601811408996582,-14.958728790283203,-14.396184921264648,-7.709495162963868,3.391580323704653,-0.7897689147080711,-18.350309113987855,-17.7877652449693,-11.10107548666852,1029917966336.0,financial-services
JPM,-9.622466087341309,-8.53867244720459,-5.369950771331787,-7.704701232910157,7.650276548179481,-17.27274263552079,-16.18894899538407,-13.020227319511267,-15.354977781089636,846930903040.0,financial-services
WMT,-8.649032592773438,1.9645895957946775,9.015332221984863,0.5394377708435059,8.541835225912937,-17.190867818686375,-6.577245630118259,0.4734969960719262,-8.002397455069431,806693109760.0,consumer-defensive
LLY,7.933908939361572,-2.2632882595062256,3.304368019104004,4.042653131484985,0.3182616250844991,7.615647314277073,-2.5815498845907245,2.986106394019505,3.724391506400486,772275896320.0,healthcare
ORCL,-8.957087516784668,-9.808050155639648,-12.724318504333496,-10.634172439575195,21.795189001541733,-30.7522765183264,-31.60323915718138,-34.519507505875225,-32.429361441116924,748646629376.0,technology
