Ticker,Pred_LSTM,Pred_GRU,Pred_TFT,Pred_Average,Rentabilidad,Dif_LSTM,Dif_GRU,Dif_TFT,Dif_Average
LULU,38.36267852783203,37.719078063964844,36.95269775390625,37.66996612548829,-10.77744384707331,49.14012237490534,48.49652191103815,47.73014160097956,48.447409972561594
LYB,35.70878601074219,36.483211517333984,27.892805099487305,32.73727874755859,-5.266231748700155,40.975017759442345,41.74944326603414,33.15903684818746,38.00351049625875
DOW,33.3011360168457,30.744794845581055,27.209854125976562,30.35335502624512,11.96044758145026,21.340688435395442,18.784347264130794,15.249406544526302,18.392907444794858
FI,33.022132873535156,25.28087043762207,29.335708618164062,29.999310684204104,-49.74377997354607,82.76591284708122,75.02465041116814,79.07948859171013,79.74309065775017
STZ,26.744144439697266,35.509559631347656,28.29937171936035,29.11931838989258,-23.558973563137368,50.30311800283464,59.06853319448503,51.85834528249772,52.67829195302995
BAX,24.812538146972656,28.74979019165039,33.28363037109375,28.988425445556643,-20.98731917981702,45.79985732678968,49.73710937146741,54.27094955091077,49.975744625373665
FDS,22.34064483642578,25.018625259399414,28.088254928588867,25.175284957885744,-30.798025822680085,53.13867065910587,55.8166510820795,58.886280751268956,55.973310780565825
CPAY,28.973276138305664,10.99319076538086,26.572006225585938,24.416751098632815,-14.499176977498973,43.47245311580464,25.492367742879832,41.071183203084914,38.91592807613179
EPAM,23.758169174194336,26.911279678344727,23.580442428588867,24.31770057678223,3.676928864580332,20.081240309614003,23.234350813764394,19.903513564008534,20.640771712201897
DXCM,28.2744197845459,15.484983444213867,23.11802864074707,23.653976058959962,-23.795811442513763,52.070231227059665,39.280794886727634,46.91384008326084,47.44978750147372
SBAC,26.242258071899414,25.51679229736328,18.952655792236328,23.181324005126953,-13.760499776546775,40.00275784844619,39.277292073910054,32.7131555687831,36.941823781673726
EFX,31.37366485595703,11.006455421447754,19.199106216430664,22.43039951324463,-12.562244490112818,43.93590934606985,23.56869991156057,31.76135070654348,34.99264400335745
KVUE,23.329519271850586,21.50309181213379,21.833284378051758,22.365739822387695,-33.32816673616426,56.65768600801485,54.83125854829805,55.16145111421602,55.69390655855196
CMG,18.305267333984375,22.008100509643555,25.419891357421875,21.89168357849121,-25.76715494614521,44.07242228012959,47.775255455788766,51.18704630356709,47.65883852463642
WY,15.753474235534668,21.246938705444336,27.33360481262207,21.484219360351563,-9.810788967419132,25.5642632029538,31.057727672863468,37.1443937800412,31.295008327770695
CHTR,18.365175247192383,18.297161102294922,24.850725173950195,20.94579238891602,-9.63753093710946,28.002706184301843,27.934692039404382,34.488256111059655,30.58332332602548
CAG,15.410420417785645,31.971139907836914,20.922510147094727,20.927400207519533,-8.8660278145094,24.276448232295046,40.837167722346315,29.788537961604128,29.793428022028934
CMCSA,12.698168754577637,24.690357208251953,26.524324417114258,20.627068710327148,-11.16039145677226,23.858560211349896,35.85074866502421,37.68471587388652,31.787460167099407
HPQ,23.375164031982422,17.888410568237305,18.87175941467285,20.47645149230957,10.249045574188724,13.126118457793698,7.639364994048581,8.622713840484128,10.227405918120848
KHC,20.963640213012695,16.586074829101562,21.82492446899414,20.432640838623048,-9.247225335436154,30.21086554844885,25.833300164537718,31.072149804430296,29.6798661740592
SMCI,20.77532196044922,16.19439697265625,20.258495330810547,19.652406311035158,11.33490705608676,9.44041490436246,4.8594899165694905,8.923588274723787,8.317499254948398
