Ticker,Pred_LSTM,Pred_GRU,Pred_TFT,Pred_Average,Rentabilidad,Dif_LSTM,Dif_GRU,Dif_TFT,Dif_Average,Total_Capitalization,Sector
NVDA,-10.282170295715332,9.028558731079102,-0.6382728815078735,-2.5624655246734616,12.021584844180992,-22.303755139896325,-2.993026113101891,-12.659857725688866,-14.584050368854454,4930024243200,technology
AAPL,-9.314780235290527,-4.761305809020996,-6.071364402770996,-7.106719017028809,23.018155468596987,-32.332935703887514,-27.779461277617983,-29.089519871367983,-30.124874485625796,3995082424320,technology
MSFT,10.4146146774292,7.832366943359375,7.816844463348389,8.859057044982912,-0.4183257158512099,10.83294039328041,8.250692659210586,8.2351701791996,9.277382760834122,3848559656960,technology
GOOGL,-4.382843017578125,7.399685859680176,-3.817669153213501,-1.8002676963806152,43.21264854915738,-47.595491566735504,-35.8129626894772,-47.03031770237088,-45.012916245537994,3396526145536,communication-services
GOOG,-4.5294904708862305,7.313377380371094,-3.0875802040100098,-1.5841527938842772,42.98048925650341,-47.50997972738964,-35.66711187613232,-46.06806946051342,-44.56464205038769,3396526145536,communication-services
AMZN,8.24028491973877,12.988850593566896,5.029042720794678,7.9055011749267585,9.451887185216105,-1.2116022654773353,3.5369634083507897,-4.422844464421427,-1.5463860102893463,2610764447744,consumer-cyclical
AVGO,-6.440117835998535,22.7253475189209,6.103816032409668,4.4105487823486325,21.89337119208887,-28.333489028087406,0.8319763268320273,-15.789555159679203,-17.482822409740237,1745527767040,technology
META,0.8391091823577881,2.9795496463775635,7.706066131591797,4.013980054855347,-14.83827510116725,15.677384283525038,17.81782474754481,22.544341232759045,18.852255156022597,1634184069120,communication-services
TSLA,6.740474700927734,3.6703226566314697,5.516872406005859,5.637003374099732,41.67003230922157,-34.929557608293834,-37.9997096525901,-36.15315990321571,-36.033028935121834,1518435958784,consumer-cyclical
BRK-B,2.1003434658050537,0.0749253034591674,1.3309301137924194,1.3874944925308228,3.4823514598369507,-1.382007994031897,-3.4074261563777832,-2.1514213460445313,-2.0948569673061277,1029917966336,financial-services
JPM,8.820820808410645,16.882097244262695,4.821826934814453,8.83347854614258,8.953988149354934,-0.1331673409442899,7.928109094907761,-4.132161214540481,-0.1205096032123549,846930903040,financial-services
WMT,-2.205798625946045,-4.443307876586914,-3.847118854522705,-3.309828567504883,-1.652137801129446,-0.5536608248165988,-2.791170075457468,-2.194981053393259,-1.657690766375437,806693109760,consumer-defensive
LLY,16.01546859741211,-3.4369170665740967,9.506972312927246,9.521592950820924,34.93668604974135,-18.92121745232924,-38.37360311631544,-25.4297137368141,-25.415093098920423,772275896320,healthcare
ORCL,2.2254443168640137,0.4860545396804809,13.920573234558104,6.555617928504945,5.483666079114307,-3.258221762250293,-4.997611539433826,8.436907155443798,1.071951849390638,748646629376,technology
V,11.131308555603027,5.520162582397461,10.176201820373535,9.62703666687012,2.7852551241110612,8.346053431491967,2.7349074582863997,7.390946696262474,6.841781542759057,658738774016,financial-services
MA,-3.0009145736694336,4.908941268920898,9.1899995803833,3.4574222564697266,-1.5147820869321853,-1.4861324867372483,6.423723355853084,10.704781667315489,4.972204343401912,495684714496,financial-services
XOM,10.74872589111328,-2.948913335800171,5.608316421508789,5.953034257888794,8.94211044443855,1.8066154466747315,-11.89102378023872,-3.3337940229297605,-2.989076186549756,487544946688,energy
PLTR,-8.634194374084473,-1.504082202911377,0.1085408776998519,-3.711077839136124,10.027444883904648,-18.661639257989123,-11.531527086816023,-9.918904006204796,-13.738522723040772,475583512576,technology
NFLX,5.569913864135742,13.29003620147705,6.44025182723999,7.462073516845704,-5.211078731251405,10.780992595387149,18.501114932728456,11.651330558491397,12.673152248097107,474097123328,communication-services
JNJ,-11.122628211975098,-0.0279604196548461,-6.509617805480957,-7.058490490913391,10.917231074786832,-22.03985928676193,-10.945191494441678,-17.42684888026779,-17.975721565700223,455043547136,healthcare
AMD,10.35229206085205,-0.1685452461242675,8.009575843811035,7.3110381126403805,48.56148734609112,-38.20919528523907,-48.73003259221539,-40.551911502280085,-41.25044923345074,415642714112,technology
COST,13.169342041015623,5.839842796325684,2.5989294052124023,7.475277137756348,-6.620338676116108,19.789680717131738,12.460181472441793,9.219268081328511,14.095615813872456,403935657984,consumer-defensive
BAC,11.894003868103027,-1.161050796508789,6.266186237335205,7.031865882873535,19.651158848654948,-7.75715498055192,-20.812209645163737,-13.384972611319744,-12.619292965781412,391757594624,financial-services
ABBV,-8.086052894592285,-3.330415725708008,-5.409731864929199,-6.0643970489501955,10.43541378765889,-18.521466682251173,-13.765829513366898,-15.845145652588087,-16.499810836609086,385180336128,healthcare
HD,-2.324719190597534,1.909425973892212,-3.9096555709838863,-2.1118647098541263,-1.1462544328953843,-1.17846475770215,3.055680406787596,-2.7634011380885024,-0.965610276958742,377838796800,consumer-cyclical
PG,17.548269271850586,19.175737380981445,5.132478713989258,12.907446670532227,-1.3476364181676193,18.895905690018203,20.523373799149063,6.480115132156877,14.255083088699848,351374606336,consumer-defensive
GE,3.089021682739258,17.31001853942871,3.2002265453338623,5.97770299911499,13.714993238547567,-10.62597155580831,3.5950253008811437,-10.514766693213703,-7.7372902394325775,325884772352,industrials
CVX,-3.5776548385620117,-1.690839409828186,-3.8526008129119873,-3.310270142555237,4.123628259372985,-7.701283097934997,-5.814467669201171,-7.976229072284973,-7.433898401928222,317777805312,energy
UNH,18.352203369140625,3.9833309650421143,23.751211166381836,17.638032007217408,40.481001641378676,-22.12879827223805,-36.49767067633656,-16.72979047499684,-22.842969634161268,309398241280,healthcare
