Ticker,Pred_Average,Rentabilidad,Dif_Average,Sector
AIG,3.7306475639343266,3.686664338350434,0.0439832255838927,financial-services
DIS,-0.3894624710082999,-0.2303282363235852,0.1591342346847146,communication-services
NXPI,1.7774911761283874,2.0270760706844597,0.2495848945560723,technology
PHM,-0.1417805671691894,-0.5006252749648678,0.3588447077956783,consumer-cyclical
PRU,5.01206774711609,4.622280347894414,0.3897873992216762,financial-services
GEHC,5.903588104248048,5.462685602582588,0.4409025016654597,healthcare
BSX,-2.748876333236695,-2.175600120131843,0.5732762131048519,healthcare
ZBH,3.0181245565414434,2.414064680473339,0.6040598760681042,healthcare
LH,-1.4115516662597658,-2.055544877841921,0.6439932115821554,healthcare
KIM,-0.64793484210968,-1.419784664672895,0.7718498225632151,real-estate
TRMB,-4.176479065418244,-3.3567580656211167,0.8197209997971271,technology
ADSK,2.0182735443115236,2.8499287968288964,0.8316552525173728,technology
EQT,3.729672360420228,4.566744878877038,0.83707251845681,energy
DE,-9.476678094267848,-8.56581162142707,0.9108664728407768,industrials
KO,-0.3906137943267823,-1.4221151225343824,1.0315013282076002,consumer-defensive
WRB,2.971206331253052,1.8793140999820337,1.0918922312710186,financial-services
CME,-3.897503662109376,-5.050770299524849,1.1532666374154736,financial-services
HPQ,9.070274543762208,10.249045574188724,1.1787710304265158,technology
AFL,6.592475509643554,5.372315527865141,1.220159981778413,financial-services
SHW,-2.4482473134994507,-1.2125180053675462,1.2357293081319043,basic-materials
DGX,0.1700430393218994,1.4123517167455202,1.2423086774236207,healthcare
IEX,7.301470613479615,8.621196149423705,1.31972553594409,industrials
NOW,6.512587547302246,5.166342656837771,1.346244890464475,technology
TDY,-2.889889517426491,-4.237179821442242,1.3472903040157505,technology
WMB,2.2276026010513306,0.8150655003696596,1.412537100681671,energy
ROL,-2.746719264984131,-1.2603623681561034,1.486356896828028,consumer-cyclical
VLTO,-9.671751403808594,-8.142633544418551,1.529117859390043,industrials
GWW,2.4810035943984987,4.119236995088655,1.6382334006901562,industrials
BRK-B,1.7314212799072266,3.4823514598369507,1.750930179929724,financial-services
BXP,7.573343658447266,9.388612373072323,1.8152687146250577,real-estate
SO,-2.427069473266602,-0.591891447668217,1.8351780255983847,utilities
PFE,3.658622741699219,1.7333887091571156,1.9252340325421031,healthcare
CDNS,-2.4454617381095884,-4.413960072123221,1.968498334013632,technology
MCD,-0.502173900604248,-2.5285774816730635,2.0264035810688155,consumer-cyclical
ON,7.305027389526368,5.232195147054215,2.0728322424721526,technology
PYPL,-0.6107253074645996,1.5391313450235369,2.1498566524881366,financial-services
SWK,-2.5367992401123045,-0.3707504590465592,2.1660487810657454,industrials
TDG,-4.352985620498657,-2.145711256784169,2.2072743637144883,industrials
HST,3.88803300857544,6.129373404610265,2.2413403960348246,real-estate
BX,-10.236148834228516,-12.52684328111297,2.290694446884455,financial-services
PG,-3.68944508433342,-1.3476364181676193,2.3418086661658006,consumer-defensive
ORLY,-6.37588540315628,-8.727166012142748,2.3512806089864675,consumer-cyclical
NI,2.40746910572052,0.0513086701863997,2.3561604355341204,utilities
LKQ,6.090476799011231,8.454632662530875,2.3641558635196436,consumer-cyclical
VZ,-3.5172396756708624,-5.883295175074764,2.3660554994039016,communication-services
WMT,-4.345263671875,-1.652137801129446,2.693125870745554,consumer-defensive
OTIS,9.438053417205811,6.729862354717528,2.7081910624882832,industrials
PKG,3.885164928436279,1.0489478267862296,2.8362171016500497,consumer-cyclical
MCHP,-8.17267303466797,-5.085104808185579,3.0875682264823903,technology
BLK,0.9298570156097412,-2.2382406017722447,3.168097617381986,financial-services
PTC,-6.881084156036377,-3.6914871868358414,3.1895969692005357,technology
FANG,-1.1227897882461548,2.1969273727806655,3.31971716102682,energy
CB,-0.5035590648651123,2.8331680784158193,3.336727143280932,financial-services
EIX,5.882237815856934,2.347295277879551,3.534942537977383,utilities
FTNT,11.245410537719728,14.780872247465531,3.535461709745803,technology
TT,1.4572654008865356,5.0368202086395275,3.579554807752992,industrials
CBOE,2.033669888973236,-1.5470944330066383,3.580764321979874,financial-services
SLB,14.511145019531252,10.852583001532812,3.65856201799844,energy
FCX,-1.0949443817138669,2.5724741373243565,3.667418519038223,basic-materials
HSY,-5.139740157127381,-8.837822611793243,3.6980824546658617,consumer-defensive
PCAR,-1.692138433456421,2.018864514281684,3.711002947738105,industrials
NUE,5.4709217071533205,9.33953040720584,3.8686087000525182,basic-materials
UNP,3.730309391021729,-0.4103800387265475,4.140689429748276,industrials
KR,-9.085734868049622,-13.29538723072288,4.209652362673259,consumer-defensive
AEE,-3.807322216033936,0.4198540153440316,4.2271762313779675,utilities
PNC,2.719835448265076,-1.5468705844168562,4.266706032681932,financial-services
HD,3.127700281143188,-1.1462544328953843,4.273954714038573,consumer-cyclical
XYZ,3.0974093914031986,-1.1841197798088194,4.281529171212018,technology
ADM,9.845728194713592,5.51203396636704,4.333694228346552,consumer-defensive
HBAN,2.528687381744385,-1.8365761595370813,4.365263541281466,financial-services
LOW,-4.128422355651856,0.3105328165156768,4.438955172167533,consumer-cyclical
DOV,0.1304847240447998,4.604891926912336,4.4744072028675355,industrials
CMS,-5.223196601867676,-0.5906395215982801,4.632557080269396,utilities
SYY,-2.3137083053588867,-6.974192387632916,4.66048408227403,consumer-defensive
ETN,1.2746326446533205,5.941801887741307,4.6671692430879865,industrials
IDXX,-7.8632696151733406,-3.161244788196101,4.702024826977239,healthcare
MTB,5.583558654785156,0.8206731968336233,4.7628854579515325,financial-services
