Ticker,Pred_LSTM,Pred_GRU,Pred_TFT,Pred_Average,Rentabilidad,Dif_LSTM,Dif_GRU,Dif_TFT,Dif_Average
HAL,35.94901657104492,31.93256950378418,37.955787658691406,35.94843559265137,6.368241198661982,29.580775372382938,25.564328305122196,31.587546460029422,29.580194393989387
TECH,35.9087028503418,27.963815689086914,28.88513946533203,31.510300064086916,5.568351862815209,30.340350987526588,22.395463826271705,23.316787602516822,25.941948201271707
CNC,29.72704315185547,23.601408004760742,35.306243896484375,30.733596420288087,17.280342001582618,12.446701150272851,6.3210660031781245,18.025901894901757,13.45325441870547
SLB,30.624710083007812,22.531909942626953,34.79400634765625,30.673868560791014,4.406678811488895,26.218031271518917,18.125231131138058,30.387327536167355,26.26718974930212
CAG,33.9434814453125,26.142065048217773,26.913244247436523,29.571103286743163,1.8392054420325408,32.104276003279956,24.302859606185233,25.074038805403983,27.731897844710623
ALGN,33.89773178100586,18.77018928527832,25.37322235107422,27.4624195098877,-29.864562306787878,63.762294087793734,48.634751592066195,55.23778465786209,57.32698181667558
ELV,23.539766311645508,31.451112747192383,28.19066047668457,26.982393264770508,14.846454074520022,8.693312237125486,16.60465867267236,13.344206402164549,12.135939190250486
MOH,23.104488372802734,26.862699508666992,28.3066463470459,25.936993789672854,1.853323638185093,21.251164734617642,25.0093758704819,26.453322708860807,24.083670151487762
LULU,26.062042236328125,16.50457191467285,29.04299545288086,25.342929458618165,-23.946064512935926,50.00810674926405,40.45063642760878,52.989059965816786,49.28899397155409
CRM,24.453571319580078,19.82274627685547,27.010540008544922,24.550193786621097,-6.7007084719057195,31.1542797914858,26.52345474876119,33.71124848045064,31.250902258526818
ENPH,16.5497989654541,26.786693572998047,26.950624465942383,22.757508087158207,-3.076150341394246,19.625949306848348,29.862843914392293,30.02677480733663,25.833658428552454
MOS,26.423851013183594,10.13705825805664,24.620929718017578,22.445323944091797,-3.029587615381539,29.45343862856513,13.16664587343818,27.650517333399115,25.474911559473334
UPS,22.643463134765625,13.15660572052002,26.3200626373291,22.216731452941893,-12.379982689274362,35.02344582403999,25.536588409794383,38.700045326603465,34.59671414221626
EPAM,22.385623931884766,18.349637985229492,23.64832878112793,22.08350868225098,-5.818734068164653,28.204358000049417,24.168372053394144,29.46706284929258,27.90224275041563
WBA,20.903953552246094,22.802993774414062,22.437252044677734,21.897080993652345,,,,,
ACN,24.0814208984375,13.237288475036621,22.28827476501465,21.195335960388185,-15.188531528130516,39.26995242656802,28.42582000316714,37.47680629314517,36.3838674885187
EIX,18.316247940063477,20.07076072692871,24.08458709716797,20.97448616027832,9.151617890181663,9.164630049881813,10.919142836747048,14.932969206986305,11.822868270096658
ZBH,33.2093391418457,15.481724739074707,8.441215515136719,19.756566810607907,8.229833727149307,24.979505414696398,7.2518910119254,0.21138178798741158,11.5267330834586
UNH,25.729352951049805,19.636144638061523,12.906665802001953,19.38163642883301,19.420263163881323,6.309089787168482,0.21588147418020043,-6.51359736187937,-0.03862673504831449
LW,13.985733032226562,18.835508346557617,23.879074096679688,18.913024520874025,18.31494102504589,-4.329207992819327,0.5205673215117272,5.564133071633798,0.5980834958281349
PCG,18.064224243164062,15.19913101196289,18.907793045043945,17.828633117675782,11.360235359406548,6.703988883757514,3.8388956525563422,7.547557685637397,6.468397758269234
LYB,5.205689907073975,24.915151596069336,25.658594131469727,17.328743934631348,-13.890536283994084,19.09622619106806,38.80568788006342,39.54913041546381,31.219280218625432
GIS,18.59170913696289,15.306283950805664,14.415013313293457,16.263945770263675,1.3623386839930558,17.229370452969835,13.943945266812609,13.052674629300402,14.90160708627062
WST,24.48150634765625,14.236291885375977,8.986263275146484,16.23436622619629,21.473654429114404,3.0078519185418457,-7.237362543738428,-12.48739115396792,-5.2392882029181145
CPRT,14.313579559326172,14.205560684204102,18.264997482299805,15.872542953491212,-1.238322202781787,15.55190176210796,15.44388288698589,19.503319685081593,17.110865156273
FICO,13.705280303955078,5.642884731292725,22.170846939086914,15.479027843475343,-0.5871627686854071,14.292443072640484,6.230047499978132,22.75800970777232,16.06619061216075
COO,25.221879959106445,9.37399959564209,6.891250133514404,14.72005195617676,-5.748735967000622,30.970615926107065,15.122735562642712,12.639986100515026,20.46878792317738
TGT,9.279508590698242,9.550789833068848,22.64854621887207,14.681379890441896,-11.1299409196433,20.409449510341542,20.680730752712147,33.77848713851537,25.811320810085196
STZ,18.367483139038086,18.414623260498047,9.033331871032715,14.64325065612793,-20.335714781794987,38.70319792083308,38.75033804229304,29.369046652827702,34.978965437922916
HUM,7.471687316894531,27.1816463470459,14.928892135620117,14.396561050415041,18.54271764485094,-11.071030327956407,8.63892870219496,-3.6138255092308214,-4.146156594435897
DOW,8.308996200561523,30.693361282348633,12.23828411102295,14.357584381103516,-13.848494173285353,22.157490373846876,44.541855455633986,26.086778284308302,28.206078554388867
